frame_id,person_id,bbox_center_x,bbox_center_y,bbox_width,bbox_height
22,2,139.0,670.0,76.0,244.0
22,3,1760.0,561.0,72.0,208.0
22,4,1185.5,1025.5,63.0,103.0
22,5,1400.5,691.5,87.0,241.0
22,10,821.5,235.5,67.0,175.0
22,12,1637.5,335.0,63.0,178.0
22,6,26.5,957.0,51.0,234.0
22,9,556.5,251.0,59.0,188.0
23,1,420.5,503.0,81.0,238.0
23,2,139.0,670.0,76.0,244.0
23,3,1759.5,561.0,71.0,208.0
23,4,1186.0,1025.5,64.0,103.0
23,5,1400.0,691.5,86.0,241.0
23,10,821.5,235.5,67.0,175.0
23,12,1635.5,334.0,63.0,178.0
23,6,26.5,955.0,51.0,232.0
24,1,421.0,502.5,80.0,237.0
24,2,139.0,670.0,76.0,244.0
24,3,1759.5,562.0,71.0,208.0
24,4,1187.5,1026.0,63.0,104.0
24,5,1400.0,691.5,86.0,241.0
24,10,821.5,235.0,67.0,174.0
24,12,1634.0,334.0,64.0,180.0
24,6,27.0,953.0,52.0,234.0
25,1,421.0,501.0,80.0,236.0
25,2,139.0,670.0,76.0,242.0
25,3,1759.0,561.5,72.0,209.0
25,4,1188.5,1026.0,63.0,104.0
25,5,1400.0,690.5,86.0,239.0
25,10,821.0,235.0,66.0,174.0
25,12,1631.0,334.0,64.0,180.0
25,6,27.5,952.5,53.0,237.0
26,1,421.0,500.0,80.0,234.0
26,2,139.0,670.0,76.0,242.0
26,3,1759.0,561.5,72.0,209.0
26,4,1189.0,1026.5,62.0,103.0
26,5,1400.0,692.0,86.0,240.0
26,10,821.5,235.0,67.0,174.0
26,6,28.0,949.5,52.0,235.0
26,8,1029.0,290.0,80.0,176.0
27,1,421.0,498.5,80.0,235.0
27,2,139.5,669.5,77.0,243.0
27,3,1758.0,561.5,72.0,209.0
27,4,1191.5,1026.5,61.0,101.0
27,5,1400.5,692.5,87.0,241.0
27,10,821.5,235.0,67.0,174.0
27,6,28.5,947.0,53.0,234.0
27,8,1026.5,289.0,83.0,176.0
28,1,421.5,497.0,81.0,236.0
28,2,139.5,669.5,77.0,243.0
28,3,1758.5,562.0,71.0,208.0
28,4,1193.0,1027.0,62.0,102.0
28,5,1400.5,692.5,87.0,241.0
28,10,821.5,234.5,65.0,173.0
28,6,28.5,943.5,53.0,233.0
29,1,422.5,494.5,81.0,237.0
29,2,139.0,669.5,76.0,243.0
29,3,1758.5,562.0,71.0,208.0
29,4,1195.0,1027.0,62.0,102.0
29,5,1400.5,692.0,87.0,242.0
29,10,821.5,234.5,65.0,173.0
29,6,29.0,939.0,54.0,234.0
30,1,422.5,492.5,81.0,235.0
30,2,139.0,669.5,76.0,243.0
30,3,1759.0,561.5,72.0,209.0
30,4,1197.5,1027.5,61.0,101.0
30,5,1400.5,692.0,87.0,242.0
30,10,821.5,234.0,65.0,172.0
30,6,29.5,936.0,55.0,236.0
31,1,425.0,489.5,80.0,233.0
31,2,138.5,669.5,77.0,243.0
31,3,1759.0,561.5,72.0,209.0
31,4,1200.5,1028.0,61.0,100.0
31,5,1400.0,691.5,86.0,241.0
31,10,821.5,234.0,65.0,172.0
31,6,30.0,935.0,56.0,238.0
32,1,425.5,487.5,81.0,231.0
32,2,138.5,669.5,77.0,243.0
32,3,1758.0,561.0,72.0,210.0
32,4,1203.0,1028.5,62.0,99.0
32,5,1400.0,691.5,86.0,241.0
32,10,822.5,233.5,65.0,173.0
32,6,30.5,934.0,57.0,242.0
33,1,426.5,486.5,81.0,231.0
33,2,138.5,670.0,77.0,244.0
33,3,1758.0,561.5,72.0,211.0
33,4,1205.5,1029.0,61.0,98.0
33,5,1399.5,691.5,87.0,241.0
33,10,822.5,233.5,65.0,173.0
33,6,31.0,934.5,58.0,245.0
34,1,426.5,485.5,81.0,229.0
34,2,138.5,670.0,77.0,244.0
34,3,1758.0,561.5,72.0,211.0
34,4,1207.0,1030.0,62.0,98.0
34,5,1400.5,692.0,87.0,242.0
34,10,821.5,234.5,65.0,173.0
34,6,30.5,933.5,59.0,245.0
34,14,221.5,456.5,67.0,201.0
34,8,998.0,285.5,82.0,177.0
35,1,427.5,485.0,83.0,230.0
35,2,138.5,670.0,77.0,244.0
35,3,1758.0,561.5,72.0,211.0
35,4,1209.0,1030.0,62.0,98.0
35,5,1400.5,691.5,87.0,243.0
35,10,822.5,234.5,65.0,173.0
35,6,31.0,934.0,60.0,250.0
35,14,221.0,452.0,68.0,204.0
35,15,1053.0,247.0,60.0,184.0
35,8,989.5,285.0,79.0,178.0
36,1,427.0,484.0,84.0,232.0
36,2,138.5,670.0,77.0,244.0
36,3,1758.0,562.0,72.0,210.0
36,4,1211.5,1030.5,61.0,97.0
36,5,1400.5,692.0,87.0,242.0
36,10,822.0,234.5,64.0,171.0
36,6,31.0,934.0,60.0,250.0
36,14,220.5,450.0,69.0,206.0
36,15,1054.0,246.5,60.0,183.0
36,8,983.0,285.0,78.0,178.0
37,1,427.0,484.0,84.0,232.0
37,2,138.5,670.0,77.0,244.0
37,3,1758.0,560.5,72.0,209.0
37,4,1214.5,1030.5,63.0,97.0
37,5,1400.5,691.5,87.0,243.0
37,10,822.0,235.5,64.0,171.0
37,6,31.5,932.0,61.0,248.0
37,14,218.0,446.0,66.0,198.0
37,15,1054.0,248.5,60.0,185.0
37,8,977.5,285.0,77.0,178.0
37,16,430.5,1038.5,89.0,83.0
37,17,1874.0,344.5,74.0,187.0
38,1,427.5,483.5,85.0,233.0
38,2,138.5,670.0,77.0,244.0
38,3,1758.0,560.5,72.0,209.0
38,4,1217.0,1030.5,62.0,97.0
38,5,1400.0,691.5,86.0,243.0
38,10,822.5,236.0,65.0,174.0
38,6,32.0,931.0,60.0,246.0
38,15,1054.5,248.5,61.0,185.0
38,8,972.5,286.5,77.0,175.0
38,16,430.5,1037.0,93.0,86.0
39,1,427.5,483.5,85.0,235.0
39,2,138.5,670.0,77.0,244.0
39,3,1757.5,561.0,71.0,208.0
39,4,1219.5,1031.5,63.0,97.0
39,5,1400.5,691.0,87.0,244.0
39,10,822.0,236.0,64.0,172.0
39,6,32.5,929.5,61.0,247.0
39,9,532.5,260.5,61.0,185.0
39,15,1053.5,249.0,61.0,184.0
39,8,968.0,287.0,78.0,174.0
39,16,430.5,1036.0,95.0,88.0
40,1,428.5,483.0,85.0,234.0
40,2,138.5,669.5,77.0,243.0
40,3,1757.5,561.0,71.0,208.0
40,4,1223.0,1032.0,62.0,96.0
40,5,1400.5,691.5,87.0,243.0
40,10,821.5,236.5,65.0,173.0
40,6,31.5,927.5,61.0,245.0
40,9,532.5,258.5,63.0,189.0
40,15,1052.5,249.5,61.0,183.0
40,8,963.0,286.5,80.0,175.0
40,16,431.5,1035.0,97.0,90.0
41,1,429.5,482.0,85.0,234.0
41,2,138.5,669.0,77.0,244.0
41,3,1757.5,561.0,71.0,208.0
41,4,1225.5,1032.0,63.0,96.0
41,5,1400.0,691.0,86.0,242.0
41,10,821.5,235.5,65.0,173.0
41,6,32.0,923.5,60.0,241.0
41,15,1053.0,248.5,60.0,181.0
41,8,959.5,286.0,81.0,176.0
41,16,431.5,1034.5,97.0,91.0
41,17,1876.0,349.5,76.0,193.0
42,1,430.5,481.5,85.0,235.0
42,2,138.5,669.0,77.0,244.0
42,3,1757.0,561.0,72.0,208.0
42,4,1228.0,1032.0,64.0,96.0
42,5,1400.0,691.0,86.0,242.0
42,10,820.5,236.0,65.0,174.0
42,6,32.5,919.0,61.0,238.0
42,15,1052.5,249.0,61.0,182.0
42,8,958.0,285.5,84.0,175.0
42,16,431.5,1034.0,99.0,92.0
42,17,1875.5,348.0,75.0,190.0
43,1,431.5,481.0,85.0,234.0
43,2,138.5,669.0,77.0,244.0
43,3,1757.0,561.0,72.0,208.0
43,4,1231.0,1031.5,64.0,95.0
43,5,1400.0,691.5,86.0,243.0
43,10,820.5,235.5,65.0,175.0
43,6,33.0,913.0,60.0,234.0
43,14,208.5,455.5,59.0,175.0
43,15,1052.5,250.0,61.0,182.0
43,8,956.5,286.5,85.0,173.0
43,16,431.0,1033.5,100.0,93.0
43,17,1874.5,349.0,73.0,186.0
44,1,434.0,479.0,84.0,232.0
44,2,138.0,669.5,76.0,243.0
44,3,1757.0,561.5,72.0,209.0
44,4,1232.0,1031.5,64.0,95.0
44,5,1400.5,691.5,87.0,243.0
44,10,820.5,235.5,65.0,175.0
44,6,33.0,908.0,60.0,228.0
44,9,532.5,265.0,67.0,194.0
44,15,1052.0,251.0,62.0,182.0
44,8,953.5,287.0,85.0,170.0
44,16,431.0,1032.0,102.0,96.0
44,17,1876.5,350.5,73.0,187.0
45,1,435.0,477.5,84.0,231.0
45,2,138.5,669.5,77.0,243.0
45,3,1757.0,561.0,72.0,208.0
45,4,1233.5,1032.0,65.0,94.0
45,5,1399.5,691.0,87.0,242.0
45,10,819.5,235.5,65.0,175.0
45,6,33.5,905.0,61.0,228.0
45,15,1051.0,251.5,62.0,183.0
45,8,950.0,284.5,88.0,175.0
45,16,429.0,1031.0,104.0,98.0
45,17,1878.5,354.0,77.0,194.0
46,1,435.0,476.5,84.0,231.0
46,2,138.5,669.5,77.0,243.0
46,3,1756.0,561.0,72.0,208.0
46,4,1234.5,1032.0,65.0,94.0
46,5,1400.0,691.0,86.0,242.0
46,10,819.5,235.0,65.0,176.0
46,6,33.5,903.5,61.0,229.0
46,15,1050.0,251.5,62.0,183.0
46,8,945.0,285.5,86.0,173.0
46,16,428.0,1028.0,108.0,102.0
46,17,1880.0,356.5,78.0,201.0
47,1,436.0,474.5,84.0,231.0
47,2,138.0,669.5,76.0,243.0
47,3,1756.0,561.5,72.0,209.0
47,4,1236.0,1032.0,66.0,94.0
47,5,1400.0,691.0,86.0,242.0
47,10,820.5,234.5,65.0,175.0
47,6,34.0,903.0,62.0,232.0
47,15,1050.0,251.5,62.0,183.0
47,8,940.5,286.5,85.0,171.0
47,16,426.5,1026.0,111.0,106.0
47,17,1881.5,358.0,79.0,202.0
48,1,436.5,472.5,83.0,229.0
48,2,138.5,669.5,77.0,243.0
48,3,1756.0,561.5,72.0,209.0
48,4,1237.5,1032.0,67.0,94.0
48,5,1400.0,691.0,86.0,242.0
48,10,820.5,234.5,65.0,175.0
48,6,35.0,901.5,62.0,229.0
48,14,201.0,445.5,68.0,201.0
48,15,1049.0,252.0,62.0,182.0
48,16,426.5,1024.0,113.0,110.0
48,17,1882.0,359.5,78.0,203.0
49,1,437.0,469.0,84.0,228.0
49,2,138.0,669.5,76.0,243.0
49,3,1756.5,561.5,71.0,209.0
49,4,1239.0,1031.5,68.0,95.0
49,5,1400.0,690.5,86.0,243.0
49,10,820.5,234.5,65.0,175.0
49,6,36.0,901.0,64.0,230.0
49,15,1047.5,254.5,63.0,183.0
49,16,427.0,1022.0,116.0,114.0
49,17,1883.0,359.5,78.0,205.0
50,1,437.5,467.0,83.0,226.0
50,2,138.0,669.5,76.0,243.0
50,3,1756.5,562.0,71.0,208.0
50,4,1239.5,1031.5,69.0,95.0
50,5,1399.5,690.5,87.0,243.0
50,10,820.0,234.0,64.0,174.0
50,6,36.5,900.0,65.0,232.0
50,15,1047.5,254.5,63.0,183.0
50,16,428.0,1020.0,116.0,116.0
50,17,1884.5,362.0,77.0,204.0
51,1,438.0,465.0,84.0,226.0
51,2,138.0,668.5,76.0,243.0
51,3,1756.5,561.5,71.0,207.0
51,4,1240.0,1031.0,70.0,96.0
51,5,1400.0,690.5,86.0,243.0
51,10,819.0,234.0,64.0,174.0
51,6,37.0,898.5,66.0,233.0
51,15,1046.5,255.5,63.0,183.0
51,16,428.5,1019.0,119.0,120.0
51,17,1885.0,364.0,74.0,202.0
52,1,438.5,463.5,83.0,225.0
52,2,138.5,668.5,77.0,243.0
52,3,1756.5,561.5,71.0,207.0
52,4,1240.5,1031.5,71.0,97.0
52,5,1400.5,691.0,87.0,244.0
52,10,819.0,234.0,64.0,174.0
52,6,37.5,897.5,67.0,235.0
52,15,1045.5,258.0,63.0,184.0
52,16,429.5,1016.5,121.0,125.0
52,17,1886.5,364.5,73.0,197.0
53,1,440.0,463.0,84.0,226.0
53,2,138.5,668.5,77.0,243.0
53,3,1756.5,561.5,71.0,207.0
53,4,1240.5,1031.0,73.0,98.0
53,5,1400.0,691.0,86.0,242.0
53,10,819.5,234.0,65.0,174.0
53,6,38.0,897.5,70.0,237.0
53,15,1045.5,259.0,63.0,184.0
53,16,431.0,1015.0,122.0,128.0
53,17,1888.0,365.0,70.0,196.0
54,1,441.0,463.0,84.0,228.0
54,2,138.0,669.0,76.0,244.0
54,3,1756.0,561.0,72.0,208.0
54,4,1240.5,1030.5,73.0,99.0
54,5,1400.0,691.0,86.0,242.0
54,10,819.0,234.0,64.0,174.0
54,6,38.0,896.5,70.0,239.0
54,15,1044.5,261.0,63.0,186.0
54,16,433.0,1014.0,122.0,130.0
54,17,1890.0,366.0,68.0,194.0
55,1,440.5,462.0,85.0,228.0
55,2,138.5,669.0,77.0,244.0
55,3,1756.0,562.0,72.0,208.0
55,4,1241.0,1029.5,76.0,101.0
55,5,1400.0,691.0,86.0,242.0
55,10,819.0,234.0,64.0,174.0
55,6,40.0,893.5,70.0,237.0
55,15,1043.5,263.0,63.0,184.0
55,16,435.5,1013.0,121.0,132.0
55,17,1892.0,367.5,68.0,197.0
56,1,440.5,462.5,85.0,229.0
56,2,138.5,669.5,77.0,245.0
56,3,1756.5,562.0,73.0,208.0
56,4,1241.5,1028.5,77.0,103.0
56,5,1400.0,691.0,86.0,242.0
56,10,819.5,233.5,65.0,173.0
56,6,41.0,889.0,70.0,236.0
56,15,1042.0,264.0,62.0,184.0
56,16,436.5,1012.0,121.0,134.0
56,17,1893.0,370.0,66.0,196.0
57,1,441.0,462.0,86.0,230.0
57,2,138.5,670.0,77.0,244.0
57,3,1756.5,561.5,73.0,209.0
57,4,1241.0,1028.5,78.0,103.0
57,5,1400.0,691.5,86.0,241.0
57,10,820.0,235.0,64.0,174.0
57,6,41.5,884.0,69.0,234.0
57,15,1040.5,264.5,61.0,183.0
57,16,438.0,1011.5,122.0,135.0
57,17,1894.5,368.0,67.0,204.0
58,1,441.5,460.5,85.0,231.0
58,2,138.5,670.0,77.0,244.0
58,3,1756.5,561.5,73.0,209.0
58,4,1241.5,1028.0,79.0,104.0
58,5,1400.0,691.5,86.0,241.0
58,10,819.5,235.0,65.0,174.0
58,6,41.5,880.0,69.0,230.0
58,15,1040.0,266.5,60.0,181.0
58,16,439.5,1010.5,121.0,137.0
58,17,1895.0,369.5,66.0,205.0
59,1,442.0,460.5,86.0,233.0
59,2,138.0,669.5,76.0,243.0
59,3,1757.0,562.0,72.0,208.0
59,4,1241.0,1027.5,80.0,105.0
59,5,1398.5,689.5,85.0,239.0
59,10,819.0,235.0,64.0,174.0
59,6,42.5,877.0,69.0,230.0
59,9,531.5,278.0,71.0,192.0
59,15,1040.0,267.0,60.0,180.0
59,16,440.5,1010.0,119.0,138.0
60,1,442.0,460.0,86.0,232.0
60,2,138.0,669.5,76.0,243.0
60,3,1757.0,562.0,72.0,208.0
60,4,1240.5,1027.0,79.0,104.0
60,5,1399.0,688.0,84.0,236.0
60,6,44.0,875.5,70.0,229.0
60,9,530.5,278.5,71.0,193.0
60,16,441.0,1009.5,118.0,139.0
60,14,178.0,437.0,70.0,204.0
61,1,441.5,459.0,85.0,232.0
61,2,138.0,669.0,76.0,244.0
61,3,1756.5,561.5,71.0,207.0
61,4,1238.5,1026.5,81.0,105.0
61,5,1398.5,687.5,83.0,235.0
61,6,44.5,873.5,69.0,229.0
61,9,529.5,279.5,71.0,193.0
61,15,1037.0,268.0,60.0,176.0
61,16,441.0,1009.0,118.0,140.0
61,14,176.5,436.5,71.0,205.0
62,1,441.5,456.5,85.0,231.0
62,2,137.5,669.5,75.0,243.0
62,3,1757.0,561.5,72.0,207.0
62,4,1237.5,1026.0,81.0,106.0
62,5,1399.0,688.5,84.0,237.0
62,6,45.5,871.0,69.0,228.0
62,9,529.5,280.5,71.0,193.0
62,16,442.0,1007.0,120.0,144.0
62,14,176.0,437.0,72.0,204.0
63,1,442.0,455.5,86.0,231.0
63,2,138.0,669.5,76.0,243.0
63,3,1757.0,561.5,72.0,207.0
63,4,1236.5,1025.5,81.0,105.0
63,5,1399.0,689.0,84.0,236.0
63,6,46.0,870.0,70.0,230.0
63,9,529.5,282.0,73.0,196.0
63,16,441.0,1004.0,122.0,148.0
63,14,174.5,436.0,73.0,206.0
64,1,442.5,454.0,85.0,232.0
64,2,137.5,669.5,75.0,243.0
64,3,1756.5,562.0,73.0,208.0
64,4,1235.0,1025.5,82.0,105.0
64,5,1399.0,690.0,84.0,238.0
64,6,46.0,868.5,70.0,231.0
64,9,529.5,283.0,73.0,198.0
64,15,1033.0,270.5,58.0,169.0
64,16,440.5,1003.0,123.0,152.0
64,14,173.5,436.0,73.0,204.0
65,1,442.5,453.0,85.0,232.0
65,2,138.0,669.5,76.0,243.0
65,3,1756.0,562.0,72.0,208.0
65,4,1233.5,1024.5,83.0,107.0
65,5,1399.5,690.0,85.0,238.0
65,6,46.5,867.5,71.0,233.0
65,9,529.0,283.5,74.0,199.0
65,15,1032.5,272.0,59.0,170.0
65,16,440.5,1000.5,125.0,157.0
66,1,442.0,451.5,84.0,231.0
66,2,138.0,669.5,76.0,243.0
66,3,1756.5,562.5,73.0,209.0
66,4,1231.0,1024.0,84.0,108.0
66,5,1399.5,691.0,85.0,240.0
66,6,46.0,866.5,72.0,235.0
66,9,528.0,285.5,74.0,203.0
66,15,1033.0,274.0,60.0,172.0
66,16,440.0,998.0,126.0,162.0
67,1,442.5,448.5,83.0,229.0
67,2,138.0,669.5,76.0,243.0
67,3,1756.0,562.0,72.0,208.0
67,4,1230.0,1023.5,84.0,109.0
67,5,1398.5,689.5,85.0,239.0
67,6,46.0,865.0,72.0,234.0
67,9,528.0,287.5,74.0,203.0
67,15,1031.0,274.5,60.0,173.0
67,16,439.5,997.0,125.0,164.0
68,1,444.0,445.5,82.0,225.0
68,2,138.0,669.0,76.0,244.0
68,3,1756.0,562.0,72.0,208.0
68,4,1228.5,1023.0,85.0,110.0
68,5,1399.0,690.5,86.0,241.0
68,6,45.5,863.0,71.0,234.0
68,9,526.5,288.5,73.0,201.0
68,15,1030.5,275.5,61.0,175.0
68,16,438.5,995.5,125.0,165.0
69,1,444.0,443.5,82.0,225.0
69,2,138.0,669.5,76.0,245.0
69,3,1756.5,563.0,73.0,210.0
69,4,1226.0,1023.0,86.0,110.0
69,5,1399.0,691.0,86.0,242.0
69,6,45.0,862.0,72.0,236.0
69,9,526.5,289.0,73.0,200.0
69,15,1029.5,275.5,61.0,177.0
69,16,437.5,994.5,125.0,169.0
69,20,1485.5,299.0,63.0,186.0
70,1,445.0,443.0,82.0,224.0
70,2,138.0,669.5,76.0,245.0
70,3,1756.5,563.0,73.0,210.0
70,4,1224.0,1022.5,86.0,111.0
70,5,1398.5,688.0,85.0,238.0
70,6,44.5,859.5,71.0,233.0
70,9,525.0,289.5,74.0,199.0
70,15,1028.5,275.5,61.0,177.0
70,16,437.0,992.5,126.0,173.0
70,20,1482.5,299.0,63.0,188.0
71,1,445.5,441.5,81.0,223.0
71,2,138.0,669.5,76.0,245.0
71,3,1756.5,563.0,73.0,210.0
71,4,1223.0,1022.5,86.0,111.0
71,5,1399.5,690.0,85.0,240.0
71,6,44.0,855.5,70.0,229.0
71,9,525.5,289.0,75.0,200.0
71,15,1027.0,276.5,62.0,177.0
71,16,436.5,991.0,127.0,176.0
71,20,1480.0,299.0,64.0,190.0
71,21,920.5,268.0,61.0,170.0
72,1,445.5,440.5,81.0,223.0
72,2,138.0,670.0,76.0,246.0
72,3,1756.5,562.0,73.0,210.0
72,4,1222.0,1022.0,86.0,112.0
72,5,1400.0,690.0,86.0,240.0
72,6,45.0,851.5,70.0,225.0
72,9,525.0,288.5,76.0,201.0
72,15,1026.5,276.5,61.0,177.0
72,16,435.5,990.5,125.0,177.0
72,20,1479.0,298.5,64.0,191.0
72,21,920.5,270.5,61.0,171.0
73,1,446.0,440.0,82.0,224.0
73,2,138.5,669.5,77.0,245.0
73,3,1757.0,563.0,74.0,212.0
73,4,1221.5,1021.5,87.0,113.0
73,5,1399.5,690.0,85.0,240.0
73,6,46.0,847.0,70.0,224.0
73,9,526.0,288.5,78.0,201.0
73,15,1025.0,277.5,62.0,179.0
73,16,435.0,990.5,124.0,177.0
73,20,1477.5,299.0,65.0,192.0
73,21,920.0,272.5,60.0,169.0
74,1,446.5,440.0,81.0,224.0
74,2,138.0,669.5,76.0,245.0
74,3,1756.5,562.5,73.0,209.0
74,4,1221.5,1021.0,87.0,114.0
74,5,1399.5,690.5,85.0,241.0
74,6,47.0,843.0,70.0,224.0
74,9,527.0,289.5,78.0,197.0
74,15,1024.5,278.0,61.0,180.0
74,16,434.0,989.5,124.0,179.0
74,20,1475.5,299.5,65.0,193.0
74,21,919.5,273.5,59.0,167.0
75,1,446.0,439.5,82.0,225.0
75,2,138.0,669.5,76.0,245.0
75,3,1756.5,561.0,73.0,208.0
75,4,1221.0,1021.0,88.0,114.0
75,5,1399.5,689.5,85.0,239.0
75,6,46.5,842.0,71.0,224.0
75,9,528.0,292.0,76.0,192.0
75,15,1023.5,279.0,61.0,182.0
75,16,434.0,987.5,124.0,181.0
75,20,1473.5,300.0,65.0,194.0
