video_name,frame_count,raw_y_std,filtered_y_std,noise_reduction,raw_avg_displacement,filtered_avg_displacement,displacement_reduction,raw_shoulder_p95_velocity,filtered_shoulder_p95_velocity,shoulder_velocity_retention
20060723sfjffinallseriousness_run_f_cm_np2_ba_med_2.avi,48,0.23562779294796193,0.17757015842668747,24.639552828174395,0.12617743750669674,0.03149288128747878,75.0407981729639,0.36002838275818555,0.05183945383655961,14.39871307906793
20060723sfjffjewcy_walk_f_cm_np1_ba_med_2.avi,49,0.20828555093080783,0.08045556775573029,61.37246803910199,0.10460745276580043,0.02596887474813837,75.17492868669828,0.4835821137076678,0.08180577730026037,16.916625942396436
20060723sfjffjewcy_walk_f_nm_np1_fr_med_1.avi,74,0.029939339920707183,0.016641074516339463,44.41736337403396,0.0521843725617741,0.011294058677631369,78.35739298338436,0.12691678905580564,0.023835442452831368,18.78036990232306
20060723sfjffjewgotmail_walk_f_cm_np2_ba_med_2.avi,48,0.06059778284401956,0.060309211229190814,0.4762082064479811,0.05184891495967471,0.011491177505451328,77.83718807927119,0.05304447877846306,0.012412087740588731,23.399396179246175
20060723sfjffkillerskiss_walk_f_cm_np1_fr_med_1.avi,84,,,,,,,,,
20060723sfjffschmoozer_walk_f_cm_np1_ri_med_1.avi,218,,,,,,,,,
20060723sfjffschmoozer_walk_f_cm_np2_ri_med_0.avi,37,,,,,,,,,
50_FIRST_DATES_run_f_nm_np1_ba_med_20.avi,79,0.05022542083627362,0.047166513999610506,6.090355811322379,0.08362257146947345,0.02313889765034448,72.32936365895975,0.0949141210801868,0.03043234788351817,32.063035022794814
50_FIRST_DATES_walk_f_cm_np1_ri_med_31.avi,82,0.06245133413356821,0.023357220748982062,62.59932462126966,0.11559304383165248,0.02467404815749355,78.65438322272371,0.27878267400213713,0.039245013190468706,14.077278414428243
50_FIRST_DATES_wave_f_cm_np1_fr_med_0.avi,50,,,,,,,,,
A_Beautiful_Mind_6_walk_u_cm_np1_fr_med_1.avi,109,0.09780942176954631,0.0908070666926046,7.159182571838841,0.014801824953849156,0.004883598050033393,67.0067841954621,0.030833952425263853,0.007588211855151736,24.609922693317518
AboutABoy_walk_f_nm_np1_le_med_5.avi,95,0.01418568554226168,0.010220907638704145,27.949145578800238,0.03239543243414097,0.0099136529235819,69.39799169609455,0.0672360310894836,0.01859658202311306,27.65865522068532
American_History_X_run_u_cm_np1_ba_med_18.avi,88,0.1234660296805038,0.13961955440362006,-13.08337586048336,0.06181019941804139,0.018045195680779568,70.80547247755284,0.08211140454995566,0.013502231256469549,16.44379526872536
American_History_X_sit_f_cm_np1_le_med_27.avi,98,0.19740716835863237,0.18047225461503477,8.578672134555775,0.06694550939538073,0.025091106996704304,62.52010445014913,0.14465587710172437,0.04044717343211892,27.960961035600242
American_History_X_sit_u_cm_np1_fr_med_6.avi,84,0.8836029440616314,0.5133817657058616,41.89904309892689,0.400701800040131,0.09539308829957033,76.1934964379954,0.8049142636191216,0.16005958524938627,19.885296171757876
