dataset_type,video_name,min_cutoff,beta,d_cutoff,frame_count,noise_reduction,displacement_reduction,shoulder_velocity_retention
fall,video (15).avi,1.0,0.007,1.0,593,1.3116304455309202,55.19483206261351,43.91455045006708
fall,video (16).avi,1.0,0.007,1.0,870,18.074680065395064,51.40764453174446,38.51151566436009
fall,video (17).avi,1.0,0.007,1.0,506,3.918461395492956,50.47154083354406,41.73211981344989
fall,video (18).avi,1.0,0.007,1.0,1052,2.8671846673296697,52.47737892799209,42.49253062659302
fall,video (19).avi,1.0,0.007,1.0,818,3.0604034728530793,53.95264555196935,54.301962492994186
fall,video (2).avi,1.0,0.007,1.0,306,0.27635918050050723,52.93529108823021,27.6935121090654
fall,video (20).avi,1.0,0.007,1.0,298,8.267995242468063,55.525823223384954,39.65384366199962
fall,video (21).avi,1.0,0.007,1.0,1130,17.136948112082806,52.74731148921457,43.92375841424326
fall,video (22).avi,1.0,0.007,1.0,987,12.876796434598713,47.575132631901894,51.44595197196954
fall,video (23).avi,1.0,0.007,1.0,1146,-0.26281721638941047,47.6715578714946,51.28656488695263
fall,video (24).avi,1.0,0.007,1.0,829,7.432754691150589,43.37433457544246,50.94999001107839
fall,video (25).avi,1.0,0.007,1.0,988,3.7720388819189266,49.96774033385487,59.434498273594095
fall,video (26).avi,1.0,0.007,1.0,499,4.725986715595354,47.17982448380348,51.39402193201838
fall,video (27).avi,1.0,0.007,1.0,811,-3.4728010256338093,49.71575535014723,49.2913892577884
fall,video (28).avi,1.0,0.007,1.0,505,-7.8395301402966355,43.52028618796495,51.66081458938345
fall,video (29).avi,1.0,0.007,1.0,1221,2.1578635963325543,45.47607892671166,52.9459761552569
fall,video (3).avi,1.0,0.007,1.0,304,-7.621909279369654,57.52230126915963,31.12248103101391
fall,video (30).avi,1.0,0.007,1.0,1247,3.6620823223386223,57.504161329570195,52.74889263989745
fall,video (4).avi,1.0,0.007,1.0,207,-5.302435854909193,56.1629805014803,34.98091792046585
fall,video (5).avi,1.0,0.007,1.0,181,3.176834526001937,58.366379595052976,35.609529535715026
fall,video (6).avi,1.0,0.007,1.0,239,1.1353048687677725,51.45453909680797,41.366160058469056
fall,video (7).avi,1.0,0.007,1.0,216,-3.684757154203755,41.43726547651545,59.894484051106645
fall,video (8).avi,1.0,0.007,1.0,285,7.199791313624737,46.10740638851891,76.28500104417958
fall,video (9).avi,1.0,0.007,1.0,336,1.942485973175856,47.41908579613578,61.48898214427102
