video_name,keypoint,visibility
video (1).avi,left_shoulder,0.9996812343597412
video (1).avi,right_shoulder,0.9958203434944153
video (1).avi,left_hip,0.9979611039161682
video (1).avi,right_hip,0.9913563132286072
video (1).avi,nose,0.9969583749771118
video (1).avi,left_shoulder,0.9997034668922424
video (1).avi,right_shoulder,0.9960191249847412
video (1).avi,left_hip,0.9981257319450378
video (1).avi,right_hip,0.9918976426124573
video (1).avi,nose,0.9972315430641174
video (1).avi,left_shoulder,0.9997296929359436
video (1).avi,right_shoulder,0.9963012337684631
video (1).avi,left_hip,0.9983001947402954
video (1).avi,right_hip,0.9925427436828613
video (1).avi,nose,0.9973464012145996
video (1).avi,left_shoulder,0.9997302293777466
video (1).avi,right_shoulder,0.9960128664970398
video (1).avi,left_hip,0.9984490871429443
video (1).avi,right_hip,0.9930790662765503
video (1).avi,nose,0.9972715377807617
video (1).avi,left_shoulder,0.9996817708015442
video (1).avi,right_shoulder,0.9957019686698914
video (1).avi,left_hip,0.9985474348068237
video (1).avi,right_hip,0.9933822751045227
video (1).avi,nose,0.9974214434623718
video (1).avi,left_shoulder,0.9996914863586426
video (1).avi,right_shoulder,0.9956027269363403
video (1).avi,left_hip,0.9986564517021179
video (1).avi,right_hip,0.9937157034873962
video (1).avi,nose,0.9975579380989075
video (1).avi,left_shoulder,0.9997109770774841
video (1).avi,right_shoulder,0.9957342743873596
video (1).avi,left_hip,0.9987519383430481
video (1).avi,right_hip,0.9939359426498413
video (1).avi,nose,0.997592568397522
video (1).avi,left_shoulder,0.9997282028198242
video (1).avi,right_shoulder,0.9958983063697815
video (1).avi,left_hip,0.9988352656364441
video (1).avi,right_hip,0.994195282459259
video (1).avi,nose,0.9977396130561829
video (1).avi,left_shoulder,0.9997283816337585
video (1).avi,right_shoulder,0.9961082339286804
video (1).avi,left_hip,0.9989036917686462
video (1).avi,right_hip,0.9944350123405457
video (1).avi,nose,0.9978891611099243
video (1).avi,left_shoulder,0.9997413754463196
video (1).avi,right_shoulder,0.9963628053665161
video (1).avi,left_hip,0.9989275336265564
video (1).avi,right_hip,0.9944462776184082
video (1).avi,nose,0.9980375170707703
video (1).avi,left_shoulder,0.9997491836547852
video (1).avi,right_shoulder,0.9965181350708008
video (1).avi,left_hip,0.9989634156227112
video (1).avi,right_hip,0.9945729970932007
video (1).avi,nose,0.9980881214141846
video (1).avi,left_shoulder,0.9997495412826538
video (1).avi,right_shoulder,0.9966349601745605
video (1).avi,left_hip,0.9989789724349976
video (1).avi,right_hip,0.9947507381439209
video (1).avi,nose,0.9979730844497681
video (1).avi,left_shoulder,0.9997662305831909
video (1).avi,right_shoulder,0.9968315958976746
video (1).avi,left_hip,0.9989852905273438
video (1).avi,right_hip,0.9948897957801819
video (1).avi,nose,0.9974502325057983
video (1).avi,left_shoulder,0.9997760057449341
video (1).avi,right_shoulder,0.9969888925552368
video (1).avi,left_hip,0.9989697337150574
video (1).avi,right_hip,0.9951791167259216
video (1).avi,nose,0.9976067543029785
video (1).avi,left_shoulder,0.9997850656509399
video (1).avi,right_shoulder,0.9971500635147095
video (1).avi,left_hip,0.9989734292030334
video (1).avi,right_hip,0.9954720735549927
video (1).avi,nose,0.9972019791603088
video (1).avi,left_shoulder,0.9997842907905579
video (1).avi,right_shoulder,0.9972456097602844
video (1).avi,left_hip,0.9990207552909851
video (1).avi,right_hip,0.9958387613296509
video (1).avi,nose,0.9881656169891357
video (1).avi,left_shoulder,0.9996212124824524
video (1).avi,right_shoulder,0.9954565763473511
video (1).avi,left_hip,0.9972755908966064
video (1).avi,right_hip,0.9924660325050354
video (1).avi,nose,0.9887877702713013
video (1).avi,left_shoulder,0.9995996356010437
video (1).avi,right_shoulder,0.9952423572540283
video (1).avi,left_hip,0.9970496892929077
video (1).avi,right_hip,0.9913250803947449
video (1).avi,nose,0.9891738295555115
video (1).avi,left_shoulder,0.9995907545089722
video (1).avi,right_shoulder,0.9948999881744385
video (1).avi,left_hip,0.9971152544021606
video (1).avi,right_hip,0.9915701746940613
video (1).avi,nose,0.9722089171409607
video (1).avi,left_shoulder,0.9990295171737671
video (1).avi,right_shoulder,0.9909722208976746
video (1).avi,left_hip,0.995212197303772
video (1).avi,right_hip,0.9879127740859985
video (1).avi,nose,0.9529678821563721
video (1).avi,left_shoulder,0.9984511137008667
video (1).avi,right_shoulder,0.9897574186325073
video (1).avi,left_hip,0.99262934923172
video (1).avi,right_hip,0.9842283725738525
video (1).avi,nose,0.9567156434059143
video (1).avi,left_shoulder,0.9984526038169861
video (1).avi,right_shoulder,0.990247368812561
video (1).avi,left_hip,0.9915803670883179
video (1).avi,right_hip,0.9830927848815918
video (1).avi,nose,0.9517292976379395
video (1).avi,left_shoulder,0.9984879493713379
video (1).avi,right_shoulder,0.9904715418815613
video (1).avi,left_hip,0.9921424388885498
video (1).avi,right_hip,0.9838778972625732
video (1).avi,nose,0.9510076642036438
video (1).avi,left_shoulder,0.9985207915306091
video (1).avi,right_shoulder,0.9909693598747253
video (1).avi,left_hip,0.991789698600769
video (1).avi,right_hip,0.9835716485977173
video (1).avi,nose,0.9476919174194336
video (1).avi,left_shoulder,0.9964333176612854
video (1).avi,right_shoulder,0.98610919713974
video (1).avi,left_hip,0.9786546230316162
video (1).avi,right_hip,0.9431016445159912
video (1).avi,nose,0.9517486691474915
video (1).avi,left_shoulder,0.9964109659194946
video (1).avi,right_shoulder,0.9870198965072632
video (1).avi,left_hip,0.9798862934112549
video (1).avi,right_hip,0.9475657343864441
video (1).avi,nose,0.9555841684341431
video (1).avi,left_shoulder,0.9964179396629333
video (1).avi,right_shoulder,0.9877616763114929
video (1).avi,left_hip,0.9814054369926453
video (1).avi,right_hip,0.951978862285614
video (1).avi,nose,0.9544371962547302
video (1).avi,left_shoulder,0.9950660467147827
video (1).avi,right_shoulder,0.98817378282547
video (1).avi,left_hip,0.9822506308555603
video (1).avi,right_hip,0.9562957286834717
video (1).avi,nose,0.9474075436592102
video (1).avi,left_shoulder,0.9923018217086792
video (1).avi,right_shoulder,0.9873167872428894
video (1).avi,left_hip,0.9807656407356262
video (1).avi,right_hip,0.9587216973304749
video (1).avi,nose,0.9441771507263184
video (1).avi,left_shoulder,0.9910355806350708
video (1).avi,right_shoulder,0.9880588054656982
video (1).avi,left_hip,0.9810042381286621
video (1).avi,right_hip,0.9622789025306702
video (1).avi,nose,0.9497286081314087
video (1).avi,left_shoulder,0.9918622970581055
video (1).avi,right_shoulder,0.9885036945343018
video (1).avi,left_hip,0.9828963875770569
video (1).avi,right_hip,0.966031014919281
video (1).avi,nose,0.9547358155250549
video (1).avi,left_shoulder,0.9926474094390869
video (1).avi,right_shoulder,0.9889427423477173
video (1).avi,left_hip,0.9845990538597107
video (1).avi,right_hip,0.9694004058837891
video (1).avi,nose,0.9592561721801758
video (1).avi,left_shoulder,0.9933696985244751
video (1).avi,right_shoulder,0.9900063276290894
video (1).avi,left_hip,0.9861307144165039
video (1).avi,right_hip,0.9724515676498413
video (1).avi,nose,0.9633165001869202
video (1).avi,left_shoulder,0.993994414806366
video (1).avi,right_shoulder,0.9905171990394592
video (1).avi,left_hip,0.9875026345252991
video (1).avi,right_hip,0.9751830101013184
video (1).avi,nose,0.966973602771759
video (1).avi,left_shoulder,0.9945538640022278
video (1).avi,right_shoulder,0.9910809397697449
video (1).avi,left_hip,0.9887411594390869
video (1).avi,right_hip,0.9776463508605957
video (1).avi,nose,0.970268189907074
video (1).avi,left_shoulder,0.9950817823410034
video (1).avi,right_shoulder,0.9916999936103821
video (1).avi,left_hip,0.9898535013198853
video (1).avi,right_hip,0.9798338413238525
