video_name,frame_count,raw_y_std,filtered_y_std,noise_reduction,raw_avg_displacement,filtered_avg_displacement,displacement_reduction,raw_shoulder_p95_velocity,filtered_shoulder_p95_velocity,shoulder_velocity_retention
video (1).avi,157,0.08940632805389623,0.08332859801630334,6.797874568709606,0.025066214989630606,0.012120062940173868,51.647813819566714,0.0937674707707933,0.047148338078912555,50.282190285544445
video (10).avi,312,0.11311099193710403,0.09973949396562337,11.821572547888138,0.028551984291337845,0.01513427858661185,46.99395169111481,0.06422956750374759,0.03405093921131699,53.01443016774202
video (11).avi,312,0.08862253737322795,0.06897075049939266,22.174705730973475,0.02360705758621041,0.012291897160248795,47.93126116899524,0.056050845682066835,0.029349467973887364,52.36222150931358
video (12).avi,216,0.05035860490809737,0.039300308259393374,21.959100473265668,0.021421505360348727,0.009269242976698937,56.729264256767244,0.04174892648469051,0.01992564535892493,47.72732387797263
video (13).avi,240,0.06266765893174187,0.056668642574622397,9.572746867173777,0.016481389685731398,0.007969799626232697,51.643643053155444,0.03225044705848459,0.013145452515144275,40.760528036419615
video (14).avi,288,0.02700919305125848,0.017188956949350503,36.358865232556106,0.01934049536506455,0.00882896963043479,54.34982680752385,0.04063923087283243,0.019160815515965525,47.14856827857597
video (15).avi,593,0.018982230447380264,0.018733253733591585,1.3116304455309202,0.023925051945724977,0.010719659703389029,55.19483206261351,0.0497892314858527,0.02186471717955547,43.91455045006708
video (16).avi,870,0.1781479272093957,0.14594825932316455,18.074680065395064,0.022577621368708632,0.01097099803175972,51.40764453174446,0.05857657370918759,0.022558726359659213,38.51151566436009
video (17).avi,506,0.037302197664717755,0.035840525449555315,3.918461395492956,0.024362529252360494,0.012066385352671252,50.47154083354406,0.05842469322523314,0.024381862977394836,41.73211981344989
video (18).avi,1052,0.029216516615728827,0.028378825130994826,2.8671846673296697,0.012278083648596418,0.0058348671672266384,52.47737892799209,0.041212695655211,0.017512317323335105,42.49253062659302
video (19).avi,818,0.0471698160700857,0.045726229380938385,3.0604034728530793,0.021024966300887488,0.009681440755148662,53.95264555196935,0.04273786617210558,0.02320750005908282,54.301962492994186
video (2).avi,306,0.12194742316027492,0.12161041026098769,0.27635918050050723,0.01779938308883637,0.008377227838851616,52.93529108823021,0.045531145997849506,0.012609173430310698,27.6935121090654
video (20).avi,298,0.0476474320304001,0.04370794461696842,8.267995242468063,0.02363405588499577,0.010511051793777012,55.525823223384954,0.04831956870122702,0.019160566230937065,39.65384366199962
video (21).avi,1130,0.16003630650422204,0.1326109676980997,17.136948112082806,0.01854364492613826,0.008762370775494181,52.74731148921457,0.04482552790469177,0.01968905658476601,43.92375841424326
video (22).avi,987,0.18268728663038536,0.15916301661909876,12.876796434598713,0.01968044624422775,0.010317447840986243,47.575132631901894,0.043448766806768034,0.02235263170382293,51.44595197196954
video (23).avi,1146,0.21396788575058875,0.21453023019188575,-0.26281721638941047,0.030248020580335176,0.0158283179443991,47.6715578714946,0.07214283474860328,0.03699958175462943,51.28656488695263
video (24).avi,829,0.029996330945351545,0.027766777249837872,7.432754691150589,0.009400732107996733,0.005323227110933185,43.37433457544246,0.03462933096245454,0.017643640666273865,50.94999001107839
video (25).avi,988,0.06261627741140417,0.06025436708103579,3.7720388819189266,0.017967648516744185,0.008989620561797725,49.96774033385487,0.03507327617856729,0.020845625724843466,59.434498273594095
video (26).avi,499,0.019821692385017717,0.018884921836095605,4.725986715595354,0.015287100372927652,0.008074673248317519,47.17982448380348,0.036742768181949735,0.01888358633786192,51.39402193201838
video (27).avi,811,0.10597754938495021,0.10965793880693234,-3.4728010256338093,0.01595885447756951,0.008024789428815036,49.71575535014723,0.03695331834481785,0.018214803989013897,49.2913892577884
video (28).avi,505,0.06661388676459332,0.07183610249512667,-7.8395301402966355,0.0176146128987158,0.009948682954292496,43.52028618796495,0.04097849513413915,0.021169824392767145,51.66081458938345
video (29).avi,1221,0.023545198919470153,0.02303712564330282,2.1578635963325543,0.010148850832806665,0.005533551417925273,45.47607892671166,0.02516977765870994,0.013326384477511746,52.9459761552569
video (3).avi,304,0.18852507280376465,0.2028942828217332,-7.621909279369654,0.025887551998967452,0.01099643634691104,57.52230126915963,0.06898552009782344,0.02147000540659139,31.12248103101391
video (30).avi,1247,0.13774555048706333,0.13270119503286856,3.6620823223386223,0.02266404350402336,0.009631275363665794,57.504161329570195,0.04648131520045955,0.024518379052702738,52.74889263989745
video (4).avi,207,0.10668114106263576,0.11233784013676722,-5.302435854909193,0.03657762641992828,0.016034541225799653,56.1629805014803,0.07342186813639846,0.025683643428466216,34.98091792046585
video (5).avi,181,0.13174424270602353,0.12755894611771879,3.176834526001937,0.038897389617824296,0.01619439154091824,58.366379595052976,0.0782175032377285,0.02785288491753779,35.609529535715026
video (6).avi,239,0.06413269733020399,0.06340459569494208,1.1353048687677725,0.025575384131263736,0.012415688104283814,51.45453909680797,0.05875159415504668,0.02430327847507876,41.366160058469056
video (7).avi,216,0.09535521215473805,0.09886882015651592,-3.684757154203755,0.021894598497833255,0.012822075593268926,41.43726547651545,0.05184824821346031,0.031054240756989173,59.894484051106645
video (8).avi,285,0.13300321843980042,0.12342726427173034,7.199791313624737,0.031391046924606106,0.0169174493494673,46.10740638851891,0.09978781232523168,0.07612313367426694,76.28500104417958
video (9).avi,336,0.3295917261194001,0.32318945307078256,1.942485973175856,0.03629001563010834,0.01908162198303618,47.41908579613578,0.09428098779157229,0.057972419748602226,61.48898214427102
